"Source:","J:\Dropbox\Dropbox\Lab Projects\BMS Board\Rev3\BMS Module\BMS Module.sch"
"Date:","12/21/2019 11:35:19 AM"
"Tool:","Eeschema (5.0.1)-3"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","34"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status","digikey"
"","","C1","47u","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","1276-3064-1-ND"
"","","C2","47u","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","1276-3064-1-ND"
"","","C3","47u","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","1276-3064-1-ND"
"","","C4","47u","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","1276-3064-1-ND"
"","","D1","FSV340FP","Device:D_Schottky","Diode_SMD:D_SOD-123","~","","","","","","","","","","FSV340FPCT-ND"
"","","D2","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Castellated","~","","","","","","","","","",""
"","","D3","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Castellated","~","","","","","","","","","",""
"","","J1","LARGE_PAD","Connector:Conn_01x01_Male","Custom Footprints:LARGE_PAD","~","","","","","","","","","",""
"","","J2","Conn_01x06_Male","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","","","","","",""
"","","J3","LARGE_PAD","Connector:Conn_01x01_Male","Custom Footprints:LARGE_PAD","~","","","","","","","","","",""
"","","J4","USB_B_Micro","Connector:USB_B_Micro","digikey-footprints:USB_Micro_B_Female_10118192","~","","","","","","","","","","609-4613-1-ND"
"","","J5","AVR-ISP-6","Connector:AVR-ISP-6","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical"," ~","","","","","","","","","",""
"","","J6","LARGE_PAD","Connector:Conn_01x01_Male","Custom Footprints:LARGE_PAD","~","","","","","","","","","",""
"","","J7","Conn_01x06_Male","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","","","","","",""
"","","J8","LARGE_PAD","Connector:Conn_01x01_Male","Custom Footprints:LARGE_PAD","~","","","","","","","","","",""
"","","L1","3.3u","Device:L","Custom Footprints:ASPI-0630HI-3R3N-T15","~","","","","","","","","","","ASPI-0630HI-3R3M-T15CT-ND"
"","","R1","10","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","",""
"","","R2","3.3k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","",""
"","","R3","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","",""
"","","R4","50m","Device:R","Resistor_SMD:R_2512_6332Metric","~","","","","","","","","","","YAG2156CT-ND"
"","","R5","2.2k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","",""
"","","R6","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","",""
"","","R7","0","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","RMCF0805ZT0R00CT-ND"
"","","R8","0","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","RMCF0805ZT0R00CT-ND"
"","","R9","470","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","A129745CT-ND"
"","","R10","470","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","A129745CT-ND"
"","","R11","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","",""
"","","R12","220k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","",""
"","","S1","FSM4JSMATR","dk_Tactile-Switches:FSM4JSMATR","digikey-footprints:Switch_Tactile_SMD_6x6mm","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2-1437565-7&DocType=Customer+Drawing&DocLang=English","Switches","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2-1437565-7&DocType=Customer+Drawing&DocLang=English","/product-detail/en/te-connectivity-alcoswitch-switches/FSM4JSMATR/450-1759-1-ND/2271638","SWITCH TACTILE SPST-NO 0.05A 24V","450-1759-1-ND","Tactile Switches","FSM4JSMATR","TE Connectivity ALCOSWITCH Switches","Active","450-1759-1-ND"
"","","U1","ATtiny25-20MU","MCU_Microchip_ATtiny:ATtiny25-20MU","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.25x2.25mm","http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf","","","","","","","","","","1611-ATTINY25V-15MTCT-ND"
"","","U2","MCP73832T-2ACI_OT","dk_PMIC-Battery-Chargers:MCP73832T-2ACI_OT","digikey-footprints:SOT-753","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","Integrated Circuits (ICs)","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","/product-detail/en/microchip-technology/MCP73832T-2ACI-OT/MCP73832T-2ACI-OTCT-ND/1979805","IC LI-ION/LI-POLY CTRLR SOT23-5","MCP73832T-2ACI/OTCT-ND","PMIC - Battery Chargers","MCP73832T-2ACI/OT","Microchip Technology","Active","MCP73832T-2ACI/OTCT-ND"
"","","U3","MCP1650","Regulator_Switching:MCP1650","Package_SO:MSOP-8_3x3mm_P0.65mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21876B.pdf","","","","","","","","","","MCP1650S-E/MS-ND"
"","","U4","STN3NF06L","BMS-Module-rescue:STN3NF06L-stn3nf06l","Package_TO_SOT_SMD:SOT-223","","","","","","","","","","","497-3177-1-ND"
"","","U5","STN3NF06L","BMS-Module-rescue:STN3NF06L-stn3nf06l","Package_TO_SOT_SMD:SOT-223","","","","","","","","","","","497-3177-1-ND"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status","digikey"
"1","4","C1, C2, C3, C4","47u","Device:C","Capacitor_SMD:C_1210_3225Metric","~","","","","","","","","","","1276-3064-1-ND"
"2","1","D1","FSV340FP","Device:D_Schottky","Diode_SMD:D_SOD-123","~","","","","","","","","","","FSV340FPCT-ND"
"3","2","D2, D3","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Castellated","~","","","","","","","","","",""
"4","4","J1, J3, J6, J8","LARGE_PAD","Connector:Conn_01x01_Male","Custom Footprints:LARGE_PAD","~","","","","","","","","","",""
"5","2","J2, J7","Conn_01x06_Male","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","","","","","",""
"6","1","J4","USB_B_Micro","Connector:USB_B_Micro","digikey-footprints:USB_Micro_B_Female_10118192","~","","","","","","","","","","609-4613-1-ND"
"7","1","J5","AVR-ISP-6","Connector:AVR-ISP-6","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical"," ~","","","","","","","","","",""
"8","1","L1","3.3u","Device:L","Custom Footprints:ASPI-0630HI-3R3N-T15","~","","","","","","","","","","ASPI-0630HI-3R3M-T15CT-ND"
"9","1","R1","10","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","",""
"10","1","R2","3.3k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","",""
"11","1","R3","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","",""
"12","1","R4","50m","Device:R","Resistor_SMD:R_2512_6332Metric","~","","","","","","","","","","YAG2156CT-ND"
"13","1","R5","2.2k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","",""
"14","2","R6, R11","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","",""
"15","2","R7, R8","0","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","RMCF0805ZT0R00CT-ND"
"16","2","R9, R10","470","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","A129745CT-ND"
"17","1","R12","220k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","",""
"18","1","S1","FSM4JSMATR","dk_Tactile-Switches:FSM4JSMATR","digikey-footprints:Switch_Tactile_SMD_6x6mm","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2-1437565-7&DocType=Customer+Drawing&DocLang=English","Switches","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2-1437565-7&DocType=Customer+Drawing&DocLang=English","/product-detail/en/te-connectivity-alcoswitch-switches/FSM4JSMATR/450-1759-1-ND/2271638","SWITCH TACTILE SPST-NO 0.05A 24V","450-1759-1-ND","Tactile Switches","FSM4JSMATR","TE Connectivity ALCOSWITCH Switches","Active","450-1759-1-ND"
"19","1","U1","ATtiny25-20MU","MCU_Microchip_ATtiny:ATtiny25-20MU","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.25x2.25mm","http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf","","","","","","","","","","1611-ATTINY25V-15MTCT-ND"
"20","1","U2","MCP73832T-2ACI_OT","dk_PMIC-Battery-Chargers:MCP73832T-2ACI_OT","digikey-footprints:SOT-753","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","Integrated Circuits (ICs)","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","/product-detail/en/microchip-technology/MCP73832T-2ACI-OT/MCP73832T-2ACI-OTCT-ND/1979805","IC LI-ION/LI-POLY CTRLR SOT23-5","MCP73832T-2ACI/OTCT-ND","PMIC - Battery Chargers","MCP73832T-2ACI/OT","Microchip Technology","Active","MCP73832T-2ACI/OTCT-ND"
"21","1","U3","MCP1650","Regulator_Switching:MCP1650","Package_SO:MSOP-8_3x3mm_P0.65mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21876B.pdf","","","","","","","","","","MCP1650S-E/MS-ND"
"22","2","U4, U5","STN3NF06L","BMS-Module-rescue:STN3NF06L-stn3nf06l","Package_TO_SOT_SMD:SOT-223","","","","","","","","","","","497-3177-1-ND"
